[0.62] 博宇四方管理端
[0.33] 选泽公司:
[0.02] 沈阳博宇会幸裎实业有
[0.34] 选泽平台:
[0.33] 全球发展
[0.87] saas管理系统
[0.98] V1.0
[0.98] 公海管理
[0.08] 晶  公司架构
[0.80] CRM
[0.16] 搜索名称/手机电话
[0.74] XQ
[0.06] 系统默认公海
[0.41] 高级筛选
[0.06] I  公海觌则
[0.18] 线索管理
[0.23] 客户多称
[0.24] 客户来源
[0.94] 企业类型
[0.99] 手机
[0.72] 宅话
[0.09] 邮籍
[0.81] 地址
[0.30] 客户行业
[0.18] 客户级别
[0.56] 下次联系时间
[0.06] 备注
[0.10] 最后跟进时间
[0.72] 客户管理
[0.08] 尚睿
[0.56] 15277777765
[0.15] 线索池
[0.96] 刘畅
[0.42] 客户公海
[0.13] |译 
[0.78] 自定义字段设置
[0.35] 鹿雪
[0.52] 15277777709
[0.46] 商品管理
[0.31] 美梦珧
[0.51] 系统管理
[0.43] 杨铭
[0.59] 15277777783
[0.75] CMS
[0.90] 马韵涵
[1.00] 15277777702
[0.18] 运菩管理
[0.93] 张傲雪
[0.78] 15277777732
[0.13] 数据统计
[1.00] 15277777704
[0.99] 刘颖
[0.92] 9729
[0.99] 10条
[0.25] 博宇金属@2024
